Question,Option a,Option b,Option c,Option d,Correct Answer,Explanation
"रिपब्लिकन पार्टी ऑफ इंडिया के संस्थापक निम्न में कौन थे?", "सुभाष चंद्र बोस", "रमेश चंद्र मजूमदार", "भगत सिंह", "बी.आर. अम्बेडकर", "बी.आर. अम्बेडकर", "B.R. Ambedkar founded the Republican Party of India."
"वर्ष 1920 की खिलाफत कमेटी की सभा, जिसमें गाँधी से असहयोग आंदोलन के नेतृत्व को संभालने का अनुरोध किया गया था, वह सभा किस शहर में हुई थी?", "लखनऊ", "लाहौर", "इलाहाबाद", "कराची", "लखनऊ", "The Khilafat Committee meeting was held in Lucknow."
"निम्नलिखित में से कौन व्यक्ति 'होमरूल लीग' की स्थापना में शामिल नहीं थे?", "बाल गंगाधर तिलक", "ऐनी बेसेंट", "एस सुब्रह्मण्यम अय्यर", "एच. एस. आल्कॉट", "एच. एस. आल्कॉट", "H.S. Alcott was not involved in the Home Rule League."
"नोआखली घटना के समय महात्मा गाँधी के निजी सचिव कौन थे?", "निर्मल कुमार बोस", "महादेव देसाई", "प्यारे लाल", "वल्लभभाई पटेल", "महादेव देसाई", "Mahadev Desai was Gandhi's personal secretary during the Noakhali incident."
"सविनय अवज्ञा आन्दोलन की असफलता के बाद गाँधी जी ने महत्व दिया ?", "रचनात्मक कार्यक्रम को", "हिंसा के सीमित उपयोग को", "अंग्रेजों से समझौते को", "परम्परागत कार्यक्रम को", "रचनात्मक कार्यक्रम को", "After the Civil Disobedience Movement, Gandhi focused on constructive work."
"बंकिमचन्द्र चटर्जी की रचना कौन-सी नहीं है?", "दुर्गेशनन्दिनी", "आनन्दमठ", "पोस्ट मास्टर", "देवी चौधरानी", "पोस्ट मास्टर", "Post Master is not a work by Bankim Chandra Chatterjee."
"वर्ष 1911 में किस सामाजिक कार्यकर्ता ने ब्रिटिश विधानपरिषद् के समक्ष निःशुल्क तथा अनिवार्य प्राथमिक शिक्षा का प्रस्ताव रखा था ?", "सत्येन्द्रनाथ बोस", "गोपालकृष्ण गोखले", "दादाभाई नौरोजी", "फिरोजशाह मेहता", "दादाभाई नौरोजी", "Dadabhai Naoroji proposed free and compulsory primary education."
"निम्नलिखित में से दक्षिण भारत में विजय प्राप्त करने वाला पहला शासक कौन था ?", "अलाउद्दीन खिलजी", "शेरशाह", "औरंगजेब", "बाबर", "अलाउद्दीन खिलजी", "Alauddin Khilji was the first ruler to conquer South India."
"निम्नलिखित में से कौन-सा व्यक्ति रम्पा विद्रोह से संबंधित है?", "बिरसा मुण्डा", "कुशल कुँवर", "अल्लूरी सीताराम राजू", "मंगल पाण्डेय", "अल्लूरी सीताराम राजू", "Alluri Sitarama Raju was the leader of the Rampa Rebellion."
"पागल पंथ की स्थापना किसने की थी?", "बुल्ले शाह", "करम शाह", "यदुवेन्द्र सिंह", "स्वामी सहजानन्द", "यदुवेन्द्र सिंह", "Yaduendra Singh founded the Pagal Panth."
